6G,51,90,西安铁路局 宝鸡电力机务段,,
6K,1,85,郑州铁路局 洛阳机务段,,
8G,1,1,太原铁路局 太原北机务段、侯马机务段、石家庄电力机务段,,
8G,2,2,中国铁道博物馆,,
8G,3,75,太原铁路局 太原北机务段、侯马机务段、石家庄电力机务段,,
8G,76,76,太原铁路局 太原机务段北场,,
8G,77,96,太原铁路局 太原北机务段、侯马机务段、石家庄电力机务段,,
8G,97,97,太原铁路局 榆次机务折返段,,
8G,98,100,太原铁路局 太原北机务段、侯马机务段、石家庄电力机务段,,
8K,1,1,北京铁路局 丰台机务段,,
8K,2,7,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,8,8,中国铁道博物馆,*科技号,
8K,9,17,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,18,18,*北京铁路局 丰台机务段,,
8K,19,23,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,24,24,太原铁路局 湖东机务段 大同西运用车间,,
8K,25,64,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,65,65,天津铁道职业技术学院,,
8K,66,71,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,72,72,北京铁路局 丰台机务段,,
8K,73,90,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,91,91,太原铁路局 太原机务段北场 机车展场,,
8K,92,100,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
DJ1,1,1,中国铁道科学研究院 环形铁道,,
DJ1,2,2,株洲西门子牵引设备有限公司,,
DJ1,3,3,西安铁路局 宝鸡机务段 秦岭附加队 ,,
DJ2,1,1,郑州铁路局 郑州机务段京武快车队,奥星,
DJ2,2,3,郑州铁路局 郑州机务段,奥星,
HXD1D,1,15,武汉铁路局集团有限公司 武昌南机务段,,
HXD1D,16,16,上海铁路局集团有限公司 杭州机务段,,
HXD1D,17,17,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,18,18,南昌铁路局集团有限公司 鹰潭机务段,,
HXD1D,19,19,上海铁路局集团有限公司 杭州机务段,,
HXD1D,20,20,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,21,21,上海铁路局集团有限公司 杭州机务段,,
HXD1D,22,24,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,25,25,南昌铁路局集团有限公司 鹰潭机务段,,
HXD1D,26,26,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,27,27,上海铁路局集团有限公司 杭州机务段,,
HXD1D,28,28,南昌铁路局集团有限公司 鹰潭机务段,,
HXD1D,29,34,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,35,35,上海铁路局集团有限公司 杭州机务段,,
HXD1D,36,38,兰州铁路局集团有限公司 兰州西机务段,,
HXD1D,39,39,中国铁路济南局集团有限公司 济南机务段,,
HXD1D,40,50,兰州铁路局集团有限公司 兰州西机务段,,
HXD1D,51,75,乌鲁木齐铁路局集团有限公司 乌鲁木齐机务段,,
HXD1D,76,105,兰州铁路局集团有限公司 兰州西机务段,,
HXD1D,106,137,上海铁路局集团有限公司 上海机务段,,
HXD1D,138,168,上海铁路局集团有限公司 杭州机务段,,
HXD1D,169,175,上海铁路局集团有限公司 上海机务段,,
HXD1D,176,185,武汉铁路局集团有限公司 武昌南机务段,,
HXD1D,186,187,南昌铁路局集团有限公司 鹰潭机务段,,
HXD1D,188,188,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,189,190,南昌铁路局集团有限公司 鹰潭机务段,,
HXD1D,191,232,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,233,233,南昌铁路局集团有限公司 鹰潭机务段,,
HXD1D,234,237,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,238,257,广州铁路（集团）公司 广州机务段,,
HXD1D,258,270,武汉铁路局集团有限公司 武昌南机务段,,
HXD1D,271,275,乌鲁木齐铁路局集团有限公司 乌鲁木齐机务段,,
HXD1D,276,279,上海铁路局集团有限公司 上海机务段,,
HXD1D,280,289,上海铁路局集团有限公司 徐州机务段,,
HXD1D,290,291,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,292,293,南昌铁路局集团有限公司 鹰潭机务段,,
HXD1D,294,295,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,296,300,广州铁路（集团）公司 广州机务段,,
HXD1D,301,310,武汉铁路局集团有限公司 武昌南机务段,,
HXD1D,311,320,乌鲁木齐铁路局集团有限公司 乌鲁木齐机务段,,
HXD1D,321,340,青藏铁路集团有限公司 西宁机务段,,
HXD1D,341,362,乌鲁木齐铁路局集团有限公司 乌鲁木齐机务段,,
HXD1D,363,382,广州铁路（集团）公司 广州机务段,,
HXD1D,383,392,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,393,405,上海铁路局集团有限公司 上海机务段,,
HXD1D,406,415,兰州铁路局集团有限公司 兰州西机务段,,
HXD1D,416,430,广州铁路（集团）公司 长沙机务段,,
HXD1D,431,440,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,441,445,南昌铁路局集团有限公司 南昌机务段,,
HXD1D,446,450,乌鲁木齐铁路局集团有限公司 乌鲁木齐机务段,,
HXD1D,451,460,武汉铁路局集团有限公司 武昌南机务段,,
HXD1D,461,470,广州铁路（集团）公司 广州机务段,,
HXD1D,471,478,兰州铁路局集团有限公司 兰州西机务段,,
HXD1D,479,483,上海铁路局集团有限公司 上海机务段,,
HXD1D,484,488,上海铁路局集团有限公司 杭州机务段,,
HXD1D,489,490,上海铁路局集团有限公司 杭州机务段,,
HXD1D,491,510,郑州铁路局集团有限公司 郑州机务段,,
HXD1D,511,512,上海铁路局集团有限公司 徐州机务段,,
HXD1D,513,515,上海铁路局集团有限公司 上海机务段,,
